000127 | fetch | pc=0048 acc=0           z=1 n=0 irq=0 | 0047: jz 61
000128 | exec  | pc=0061 acc=0           z=1 n=0 irq=0 | jz taken
000129 | fetch | pc=0062 acc=0           z=1 n=0 irq=0 | 0061: ld 28
000130 | addr  | pc=0062 acc=0           z=1 n=0 irq=0 | data address <- 28
000131 | mem   | pc=0062 acc=1           z=0 n=0 irq=0 | acc <- mem[28]
000132 | fetch | pc=0063 acc=1           z=0 n=0 irq=0 | 0062: jz 72
000133 | exec  | pc=0063 acc=1           z=0 n=0 irq=0 | jz skip
000134 | fetch | pc=0064 acc=1           z=0 n=0 irq=0 | 0063: ld 29
000135 | addr  | pc=0064 acc=1           z=0 n=0 irq=0 | data address <- 29
000136 | mem   | pc=0064 acc=31          z=0 n=0 irq=0 | acc <- mem[29]
000137 | fetch | pc=0065 acc=31          z=0 n=0 irq=0 | 0064: sub 0
000138 | mem   | pc=0065 acc=31          z=0 n=0 irq=0 | operand <- mem[0]
000139 | exec  | pc=0065 acc=30          z=0 n=0 irq=0 | acc -= mem[0]
000140 | fetch | pc=0066 acc=30          z=0 n=0 irq=0 | 0065: st 29
000141 | addr  | pc=0066 acc=30          z=0 n=0 irq=0 | data address <- 29
000142 | mem   | pc=0066 acc=30          z=0 n=0 irq=0 | mem[29] <- acc
000143 | fetch | pc=0067 acc=30          z=0 n=0 irq=0 | 0066: ldx 29
000144 | addr  | pc=0067 acc=30          z=0 n=0 irq=0 | ptr address <- 29
000145 | mem   | pc=0067 acc=30          z=0 n=0 irq=0 | address <- mem[29]
000146 | mem   | pc=0067 acc=54          z=0 n=0 irq=0 | acc <- mem[30]
000147 | fetch | pc=0068 acc=54          z=0 n=0 irq=0 | 0067: st 65281
000148 | addr  | pc=0068 acc=54          z=0 n=0 irq=0 | data address <- 65281
000149 | mem   | pc=0068 acc=54          z=0 n=0 irq=0 | mem[65281] <- acc
000150 | fetch | pc=0069 acc=54          z=0 n=0 irq=0 | 0068: ld 28
000151 | addr  | pc=0069 acc=54          z=0 n=0 irq=0 | data address <- 28
000152 | mem   | pc=0069 acc=1           z=0 n=0 irq=0 | acc <- mem[28]
000153 | fetch | pc=0070 acc=1           z=0 n=0 irq=0 | 0069: sub 0
